geneType	KR_zinb_Was	KR_zinb_JSD	KR_kde_Was	KR_kde_JSD	PS_zinb_Was	PS_zinb_JSD	PS_kde_Was	PS_kde_JSD	deseq2_pval	mast_pval_glm	mast_pval_glmer	ranksum_pval
EE	0.027	0.028	0.096	0.063	0.023	0.023	0.096	0.072	0.0182692864201343	9.71310807021047e-10	0.0160933551203019	5.327974040894e-09
meanDE	0.016	0.029	0.036	0.819	0.014	0.021	0.028	0.811	0.0328988291081748	6.64645238134064e-07	0.955629173646569	7.50171352639716e-07
meanDE	0.53	0.534	0.097	0.893	0.503	0.524	0.097	0.862	0.103451469597792	0.0175224820013148	0.59943895479521	0.00287153648814742
varDE	0.216	0.119	0.224	0.063	0.195	0.122	0.237	0.054	0.32940751209629	4.03133421940724e-05	0.107733500232151	0.213536514648116
EE	0.72	0.624	0.966	0.757	0.719	0.622	0.96	0.735	0.836693253372192	0.828508421635886	1	0.713031229576252
EE	0.059	0.047	0.032	0.056	0.073	0.062	0.037	0.059	0.154966679101569	0.000150239859725276	0.0769747249212927	2.5427243613481e-05
EE	0.253	0.274	0.164	0.108	0.261	0.276	0.174	0.117	0.0686003544338961	5.00671013022043e-05	0.162476049109467	3.48012552656021e-05
EE	0.978	0.988	0.441	0.207	0.983	0.98	0.458	0.218	0.243549735152784	0.0272630353326044	0.194212245296354	0.0530991590128482
EE	0.029	0.023	0.037	0.003	0.053	0.035	0.063	0.008	0.117462927507162	6.44092264850107e-05	0.0290532343846732	1.01400698514829e-05
EE	0.873	0.976	0.781	0.226	0.891	0.974	0.768	0.231	0.529845487532608	0.191358995293949	0.83127976392891	0.0729065330104157
EE	0.449	0.481	0.41	0.307	0.394	0.407	0.392	0.309	0.317968454090476	0.0146002294965361	0.7160088305195	0.0468124746098588
EE	0.83	0.729	0.559	0.789	0.82	0.75	0.591	0.829	0.640790595510823	0.167878082604203	0.362457525268118	0.264920031824771
EE	0.489	0.459	0.506	0.571	0.421	0.417	0.439	0.517	0.361485476512003	0.0108810254326587	0.283583088549139	0.00159194805692859
EE	0.267	0.254	0.14	0.175	0.262	0.239	0.142	0.172	0.221081683204769	7.27394325001443e-05	0.290682519950074	6.35628295486756e-06
EE	0.275	0.314	0.458	0.206	0.281	0.351	0.452	0.201	0.713800447695054	0.552977932858159	0.614176821734821	0.533652749118718
EE	0.338	0.332	0.469	0.561	0.38	0.384	0.516	0.6	0.55726003506452	0.285468883044968	0.632131960296349	0.119718430492096
varDE	0.587	0.666	0.565	0.834	0.62	0.672	0.591	0.818	0.614402269848977	0.000217769022974357	0.495224523303428	0.00011548251727557
meanDE	0.925	0.96	0.364	0.216	0.926	0.962	0.398	0.234	0.448117722143261	0.0571310446065548	0.563293687232335	0.018654831988177
EE	0.343	0.495	0.413	0.574	0.302	0.433	0.409	0.585	0.0912692762084951	5.40163297433221e-06	0.0895237943338744	5.34152636946748e-07
EE	0.226	0.162	0.378	0.29	0.211	0.175	0.404	0.279	0.235823897223299	0.00207922964390307	0.308990238803731	0.00580035297380209
EE	0.759	0.578	0.649	0.694	0.736	0.533	0.607	0.657	0.94618265096201	0.000870682316292291	0.504306633609876	8.29269770094342e-05
meanDE	0.582	0.632	0.495	0.514	0.569	0.618	0.512	0.52	0.932647098533414	0.31767762874979	0.472981705417765	0.580727287348098
meanDE	0.991	0.552	0.827	0.814	0.985	0.452	0.801	0.817	0.91008141330865	0.42017590984784	0.753435410457143	0.961858133384818
EE	0.496	0.798	0.361	0.225	0.519	0.824	0.376	0.213	0.549297780685154	0.480539573591288	0.576162587622604	0.380757836134151
EE	0.715	0.446	0.752	0.82	0.688	0.427	0.713	0.799	0.379934070887782	0.274307709368219	0.395233040441504	0.141754498883978
EE	0.599	0.424	0.585	0.267	0.594	0.452	0.597	0.291	0.934655927357196	0.711580028304904	0.607978994354189	0.651578911608872
EE	0.336	0.201	0.496	0.256	0.335	0.206	0.498	0.27	0.112536632532016	8.66889402578868e-09	0.0512411092146975	2.4554730857047e-06
EE	0.192	0.084	0.278	0.519	0.136	0.06	0.252	0.5	0.0947616738966079	2.38205109090703e-05	0.175131695206108	6.52968668429919e-05
